번호,"﻿분류",키워드,답변,이미지,변환 이미지,레퍼런스,제작 진행 현황,Last edited by
56,식후 활동,"#식후활동 예시 
#식후 활동 추천 
#식후 활동 실천 팁","✔식후 활동 실천 팁!
⬡ 식후 걷기
⬡ 식후 청소하기(바닥 닦기, 청소기 돌리기)
⬡ 식후 설거지하면서 뒷발차기 운동하기
⬡ 식후 설거지할 때 의자 자세 유지하기
⬡ 식후 엘리베이터 대신 계단 오르기
⬡ 식후 스쿼트, 런지 하기
⬡ 식후 TV 보며 플랭크, 스테퍼 하기
⬡ 식후 가자미근 운동하기
⬡ 식후 자전거 타기
⬡ 식후 벽에 등을 대고 의자 자세 유지하기
⬡ 식후 스트레칭, 요가, 필라테스하기

✔식후 활동 주의사항
식후 배부른 상태에서 격한 활동을 하면 소화장애를 일으킬 수 있으니 식후에는 가벼운 활동을 통해 소화에 도움을 주고 혈당을 조절해 주세요!",,,,최종,프로덕트 웰다
57,"식초 섭취
","#식초섭취 
#식초 섭취 방법 
#식초 마시는 방법 
#식초 마시기 
#식초 주의사항
","식사 전후 식초를 마시면 혈당 곡선이 달라질 수 있어요!

식초를 물 200mL 이상에 희석하여 식사 시간 20분 이내 빨대로 섭취해 주세요. 처음 식초를 섭취하시는 분은 작은 술(5mL)부터 점차 증량해서 드셔보세요.

식초는 강한 산성으로 원액 그대로 마시면 위험할 수 있어요. 반드시 물에 적정량을 희석하고, 빨대를 이용해 섭취한 후 입안을 물로 헹궈주세요.

식전 20분 이내 식초를 섭취하고 식사 순서를 바꿔 먹고 식후 활동을 해주시면 혈당 곡선을 더욱 완만하게 할 수 있을 거예요.",,,,최종,프로덕트 웰다
58,"식초 섭취
","#식초 원리 
#식초 효과
#식초 마시기 효과 
#식초 섭취 효과 
#아세트산 효과 ","식초 속 아세트산은 혈당 스파이크를 예방하는 효과를 가지고 있어요.

아세트산은 침 속 효소의 작용을 억제하여 탄수화물이 포도당으로 분해되는 속도를 늦춰주고 근육이 평소보다 더 빨리 포도당을 저장할 수 있도록 도와줍니다. 즉 포도당이 혈류에 천천히 도착하고 더 빨리 흡수되어 혈당 스파이크 발생 가능성을 줄일 수 있어요. 

뿐만 아니라 식초는 인슐린 저항성 개선에도 효과가 있어 대사 유연성 활성화에도 도움을 주어요!",https://drive.google.com/file/d/1p5a_70GDI6iKnf1P_xooDaB6sJWhXlV7/view?usp=drive_link,https://wellcheck-diet-prod.s3.ap-northeast-2.amazonaws.com/coach-answer-guide/58.jpg,https://pubmed.ncbi.nlm.nih.gov/31221273/,최종,프로덕트 웰다
59,"식초 섭취
","#식초섭취 예시 
#식초 섭취하기 추천 
#식초 섭취 실천 팁","식초는 다양한 방법으로 섭취할 수 있어요. 나에게 맞는 섭취 방법을 선택해서 식초 섭취를 실천해 보세요.

✔식초 섭취 실천 팁!

⬡ 탄산수와 함께 식초 섭취하기
⬡ 샐러드드레싱 대신 비네그레트 소스 뿌려 먹기
⬡ 샐러드드레싱 대신 식초 뿌려서 먹기
⬡ 좋아하는 채소로 식초 넣고 피클 만들기 
⬡ 그릭 요거트에 식초 타먹기
⬡ 무알코올 식초 모히또, 식초 칵테일 만들어 먹기
⬡ 희석한 식초물을 얼려서 음료에 타 먹기",,,,최종,프로덕트 웰다
60,"식초 섭취
","#식초섭취 시간 
#식초 섭취하기 시간 
#식초는 언제 먹어야 하나요","혈당 스파이크 예방을 위한 식초의 효과는 식사 시간 20분 전후로 지속될 수 있어요. 

식사 시간 20분 전 식초를 섭취하는 것이 혈당 조절에 가장 효과적이지만 속쓰림이 발생한다면 식사 중 또는 식사 후 20분 이내로 드시는 것을 추천드립니다.",,,,최종,프로덕트 웰다
61,"식초 섭취
","#식초 선택 방법
#식초 선택하는 방법
#식초 고르는 법
","식초를 선택할 때는 당류 0g, 아세트산 5%의 식초를 선택해 주셔야 해요. 웰다에서 추천하는 식초 제품이 궁금하시다면 추가 문의를 해주세요.",,,,최종,프로덕트 웰다
62,식초 섭취,"#식초 추천 
#식초 제품 
#식초 추천 리스트 ","웰다에서 추천하는 식초 제품입니다. 본인의 기호에 맞게 골라 드세요!

✔식초 제품 추천!
⬡ 브래그 유기농 사과 식초: 깔끔하고 새콤, 톡쏘는 맛
⬡ 카란디니 유기농 사과 식초: 식초 냄새가 없고 시원한 맛
⬡ 데니그리스 유기농 사과 식초: 식초 냄새가 없고 거부감 없이 부드러운 맛
⬡ 데니그리스 유기농 석류 식초: 식초의 톡 쏘는 맛이 적고 부드러운 석류향이 나는 맛
⬡ 안드레아밀라노 유기농 애플 사이다 식초: 산뜻하고 부드러운 맛
⬡ 아치 애플 사이다 비니거: 식초 냄새가 적고 풍미가 매우 좋음
⬡ 커클랜드 시그니처 오가닉 애플 사이다 비니거: 식초 냄새가 적고 상큼한 맛, 합리적인 가격
⬡ 버몬트 빌리지 유기농 사과 식초 : 부드럽고 향긋한 식초 맛",https://drive.google.com/file/d/1ZNv-PB1HuOb1EPUmg1SxclX0jJHYvipC/view?usp=drive_link,https://wellcheck-diet-prod.s3.ap-northeast-2.amazonaws.com/coach-answer-guide/62.jpg,,최종,프로덕트 웰다
63,"식초 섭취
","#콤부차 
#식초 대용 콤부차","콤부차는 아세트산이 1% 미만으로 효과가 적을 수 있어요. 또한, 콤부차에는 당이 함유된 제품이 많아 오히려 다이어트에 방해가 될 수 있으니 주의해 주세요.",,,,최종,프로덕트 웰다
64,"식초 섭취
","#레몬즙 
#구연산 
#식초 대용 레몬즙","레몬즙은 아세트산이 아닌 구연산을 함유하고 있어 아세트산의 효과를 볼 수 없어요. 하지만 레몬즙은 비타민과 미네랄이 풍부하고, 우리 몸에 소화 촉진, 항산화 효과, 물질대사 촉진 등의 다양한 효과를 줄 수 있어요. 

레몬즙을 드실 때는 식초를 희석한 물에 한 술 첨가하여 드셔보세요. 식초와 레몬즙의 효과를 동시에 볼 수 있을 뿐만 아니라 맛도 좋아 추천드려요!",,,,최종,프로덕트 웰다
65,식초 섭취,"#식초 알약 
#식초 젤리 구미 
#식초 대용 알약 
#식초 대용 구미","식초 알약과 구미(젤리)는 아세트산 함량이 적어 식초 효과가 적을 수 있어요. 또한, 구미 형태는 당을 함유한 제품이 많아 오히려 다이어트에 방해가 될 수 있으니 주의해 주세요.",,,,최종,프로덕트 웰다
66,"식초 섭취
","#홍초 
#감식초 
#식초 대용 홍초 
#식초 대용 감식초","홍초, 감식초는 당을 함유한 제품이 많아 오히려 다이어트에 방해가 될 수 있으니 주의해 주세요. 홍초, 감식초의 아세트산과 당의 함유량을 확인하고 섭취해 주세요!",,,,최종,프로덕트 웰다
67,"식초 섭취
","#조리용 식초 
#일반 식초 
#주정 
#식초 대용","조리용 식초, 일반 식초는 주정을 넣어 강제로 발효한 식초로 아세트산이 거의 없어요. 식초의 효과를 보기 위해서는 자연으로 발효된 천연 식초를 선택하셔야 합니다. 식초를 선택할 때 아세트산과 당의 함유량을 확인해 주세요!",,,,최종,프로덕트 웰다
68,"식초 섭취
","#위염 
#위궤양 
#복통 
#속쓰림 
#식초","위염, 위궤양, 복통, 속 쓰림이 있으시다면 소량(작은 술)만 희석하여 섭취해 보시고 증상이 악화된다면 섭취를 중단하시거나 전문의와 상담 후 섭취하시는 것을 권장 드립니다. 

식초 섭취가 어려운 경우에는 식사 순서 바꾸기와 식후 활동을 더 적극적으로 실천하여 혈당 스파이크를 예방해 주세요.",,,,최종,프로덕트 웰다
69,식초 섭취,"#식초 섭취가 어려운 경우 
#식초 섭취 불가",식초 섭취가 어려운 경우에는 식사 순서 바꾸기와 식후 활동을 더 적극적으로 실천하여 혈당 스파이크를 예방해 주세요.,,,,최종,프로덕트 웰다
70,식단지 식사,"#식단지식사 
#식단지 식사 방법 
#식단지 식사 접시 구성 
#한끼 접시 구성","식단지 식사 방법은 혈당 스파이크를 피할 수 있는 가장 확실한 방법이에요!

식단지 식사를 하기 위해선 접시의 절반은 식이섬유가 풍부한 채소, 나머지 접시의 절반씩 단백질, 좋은 지방으로 구성해 주세요. 이렇게 섭취하면 필요한 영양소를 골고루 섭취할 수 있어요. 이때 섭취하는 소스를 주의하셔야 해요! 소스에 생각보다 높은 양의 당류가 함유되어 있을 수 있어요.

또한 탄수화물을 갑자기 극단적으로 끊으면 아직 대사 유연성이 활성화되지 않은 상태에서 금당현상 같은 부작용이 발생할 수 있기 때문에 식단지 식사는 하루 한 끼부터 시작해 보는 것을 추천드립니다. 특히 간헐적 단식 직후 처음으로 섭취한 음식에 우리 몸이 민감하게 반응하기 때문에 식단지 식사는 첫 끼부터 시작해 보시는 것을 추천드려요!",https://drive.google.com/file/d/1ApX5Uf7dgWBKG4wXDpG3FKMHWbUvWKXi/view?usp=drive_link,https://wellcheck-diet-prod.s3.ap-northeast-2.amazonaws.com/coach-answer-guide/70.jpg,,최종,프로덕트 웰다
71,식단지 식사,"#식단지식사 원리 
#식단지 식사 효과 ","식단지 식사의 원리는 간단해요.

우리가 식단지 식사를 하면 탄수화물 섭취가 줄게 되어요. 탄수화물 섭취 자체가 줄어 혈당 스파이크가 차단되면 우리 몸의 체지방 생성을 줄일 수 있어요. 또한, 탄수화물 섭취가 줄면 인슐린 저항성이 개선되어 지방을 에너지원으로 유연하게 쓸 수 있는 기능인 대사 유연성이 활성화될 수 있어요.

체지방 생성을 줄이고 대사 유연성 활성화에 도움을 주는 식단지 식사를 하루 한 끼부터 서서히 실천해 보세요!",,,https://www.hsph.harvard.edu/nutritionsource/healthy-weight/diet-reviews/ketogenic-diet/,최종,프로덕트 웰다
72,식단지 식사,"#당신생합성 
#포도당 합성
#포도당 필요한 영양성분 
#필수 영양소
#탄수화물 안먹어도 되나요","탄수화물을 구성하는 기본 성분인 포도당은 우리 몸에 꼭 필요한 영양소입니다. 

하지만 우리는 포도당을 직접 섭취하지 않고도 체내에서 포도당을 만들 수 있는 능력을 갖고 있어요. 따라서 우리 몸이 지방 연소 상태에 적응할수록 점차 포도당 의존도가 낮아지며 체내에서 직접 생성하는 포도당만으로도 자생할 수 있어요.

따라서 올바른 방법을 통해 탄수화물 섭취를 서서히 줄이는 것은 안전하고 효과적인 체지방 감량 방법이며 비만부터, 대사성 질환, 암, 치매 등 많은 질병들을 개선 및 예방 가능합니다.",,,https://www.virtahealth.com/blog/why-dont-need-dietary-carbohydrates,최종,프로덕트 웰다
73,식단지 식사,"#금당현상
#금당현상이란
#급격히 탄수화물을 끊었을 때
#탄수화물 의존 부작용","금당현상은 우리 몸이 탄수화물(포도당)을 에너지원으로 쓰는 것에 의존하였을 때 나타나는 현상이에요. 아직 대사 유연성이 활성화되지 않은 상태에서 극단적으로 탄수화물 섭취를 줄이기 시작했을 때 발생할 수 있어요.

금당현상에서 나타는 증상은 우리가 흔히 이야기하는 “당 떨어진다”라고 할 때 나타나는 증상과 비슷합니다.

따라서 웰다에서는 내 몸의 대사 유연성이 활성화되는 속도에 맞추어 하루 식단지 식사를 천천히 도입하는 것을 추천드려요.",,,,최종,프로덕트 웰다
74,식단지 식사,"#식단지 식사 추천재료
#추천 식재료 이미지
#추천 재료 이미지 ","사진을 참고해 식단지 식사를 구성해 보세요! 

사진에 없는 재료는 영양성분을 꼭 확인해 주세요. 웰다는 가공되지 않은 자연 그대로의 식품들을 가장 추천드려요 :)",https://drive.google.com/file/d/1uV9luep30oy5VkhYOxkGavla_niA0u3H/view?usp=drive_link,https://wellcheck-diet-prod.s3.ap-northeast-2.amazonaws.com/coach-answer-guide/74.jpg,,최종,프로덕트 웰다
75,식단지 식사,"#식단지 추천 재료 식이섬유 
#추천 채소류
#추천 버섯
#추천 해조류","웰다가 추천하는 식이섬유 재료를 알려드릴게요~!

✔채소류 추천 리스트

⬡ 가지
⬡ 고사리
⬡ 근대
⬡ 깻잎
⬡ 당근
⬡ 대파
⬡ 로메인
⬡ 루꼴라
⬡ 무우
⬡ 미나리
⬡ 부추
⬡ 브로콜리
⬡ 비트
⬡ 상추
⬡ 샬롯
⬡ 샐러리
⬡ 숙주
⬡ 시금치
⬡ 아스파라거스
⬡ 애호박
⬡ 양배추
⬡ 양상추
⬡ 양파
⬡ 오이
⬡ 청경채
⬡ 치커리
⬡ 취나물
⬡ 케일
⬡ 콜라비
⬡ 콜리플라워
⬡ 콩나물
⬡ 파프리카
⬡ 피망
⬡ 호박
⬡ 호박잎

✔버섯류 추천 리스트

⬡ 느타리버섯
⬡ 목이버섯
⬡ 새송이버섯
⬡ 양송이버섯
⬡ 팽이버섯
⬡ 표고버섯

✔해조류 추천 리스트

⬡ 감태
⬡ 김
⬡ 다시마
⬡ 매생이
⬡ 미역
⬡ 파래",,,,최종,프로덕트 웰다
76,식단지 식사,"#식단지 추천 재료 단백질 
#추천 육류 달걀 
#추천 해산물","웰다가 추천하는 단백질 재료를 알려드릴게요~!

✔육류 및 달걀 추천 리스트

⬡ 간
⬡ 달걀
⬡ 닭근위
⬡ 닭고기
⬡ 돼지고기
⬡ 돼지껍데기
⬡ 메추리알
⬡ 베이컨
⬡ 소고기
⬡ 소세지
⬡ 양고기
⬡ 염통
⬡ 오리고기
⬡ 오소리감투
⬡ 우설
⬡ 육포(no sugar)
⬡ 족발
⬡ 햄
⬡ 허파
⬡ 훈제오리

✔해산물류 추천 리스트

⬡ 가리비
⬡ 가자미
⬡ 갈치
⬡ 고등어
⬡ 굴
⬡ 꽁치
⬡ 꽃게
⬡ 낙지
⬡ 날치알
⬡ 대구
⬡ 도미
⬡ 동태
⬡ 동태알
⬡ 랍스터
⬡ 멸치
⬡ 명태
⬡ 문어
⬡ 바지락
⬡ 방어
⬡ 삼치
⬡ 새우
⬡ 소라
⬡ 숭어
⬡ 연어
⬡ 연어알
⬡ 오징어
⬡ 전복
⬡ 조기
⬡ 주꾸미
⬡ 참치

✔기타 추천 리스트

⬡ 낫또
⬡ 두부",,,,최종,프로덕트 웰다
77,식단지 식사,"#식단지 추천 재료 지방 
#추천 오일 
#추천 유제품
#추천 견과류","웰다가 추천하는 지방 재료를 알려드릴게요~!

✔오일 추천 리스트

⬡ MCT오일
⬡ 들기름
⬡ 마카다미아오일
⬡ 아마씨오일
⬡ 아보카도오일
⬡ 올리브오일
⬡ 참기름
⬡ 코코넛오일
⬡ 햄프씨드오일
⬡ 호두오일
*오일류는 저온 압착 오일로 선택해 주세요!

✔유제품류 추천 리스트

⬡ 고다치즈
⬡ 까망베르치즈
⬡ 리코타치즈
⬡ 모짜렐라치즈
⬡ 무가당그릭요거트
⬡ 버터
⬡ 부라타치즈
⬡ 브리치즈
⬡ 블루치즈
⬡ 사워크림
⬡ 생크림
⬡ 에멘탈치즈
⬡ 체다치즈
⬡ 카이막치즈
⬡ 코티지치즈
⬡ 크림치즈
⬡ 파마산치즈
⬡ 페타치즈

✔견과류 및 기타 추천 리스트

⬡ 깨
⬡ 땅콩
⬡ 마카다미아
⬡ 브라질넛트
⬡ 아몬드
⬡ 아보카도
⬡ 잣
⬡ 치아씨드
⬡ 피스타치오
⬡ 해바라기씨
⬡ 헤이즐넛
⬡ 호두
⬡ 호박씨",,,,최종,프로덕트 웰다
78,식단지 식사,"#식단지식사 집에서 
#식단지 식사 집 추천 
#식단지 식사 집밥 실천 팁 
#식단지 식사 가정에서","✔식단지 식사하기 실천 팁_가정에서!

⬡ 생채소 미리 손질해놓기
⬡ 냉동야채 활용하기
⬡ 드레싱 조합 찾아 맛있게 먹기(소금, 후추, 올리브유, 발사믹 등)
⬡ 나만의 간식 활용하기(당 없는 초콜릿, 견과류 등)
⬡ 곤약 면, 두부 면을 활용하여 면 요리 즐기기
⬡ 밥대신 계란찜, 두부 먹기
⬡ 마녀스프 만들어서 소분해놓기
⬡ 시금치, 계란, 양파, 토마토에 치즈 올려 먹기

다양한 팁을 활용하여 식단지 식사를 수월하게 실천해 보세요.",,,,최종,프로덕트 웰다
79,식단지 식사,"#식단지식사 외식 메뉴 추천 
#외식 추천 메뉴","✔식단지 식사 외식/배달 추천 메뉴

⬡  샤브샤브, 편백찜
⬡  보쌈, 족발, 삼겹살
⬡  스테이크, 소고기 구이
⬡  생선회, 생선구이, 장어구이
⬡  키토 김밥, 키토 유부초밥",,,,최종,프로덕트 웰다
80,식단지 식사,"#식단지식사 외식 배달 
#식단지 식사 외식 실천 팁 
#식단지 식사 족발 보쌈","✔식단지 식사할 때 외식/배달 실천 팁_족발, 보쌈집

⬡ 족발, 보쌈집
① 족발과 보쌈은 충분히 드세요.
② 양념족발, 보쌈김치에는 설탕이 많이 들어가 있을 수 있으니 주의하세요!
③ 상추, 깻잎 등 쌈류는 충분히 드세요.
④ 쌈장 대신 새우젓을 찍어드세요.
⑤ 주먹밥, 막국수는 피해주세요",,,,최종,프로덕트 웰다
81,식단지 식사,#식단지 식사 고기집,"✔식단지 식사할 때 외식/배달 실천 팁_고기집

⬡ 고기집(삼겹살, 목살구이)
① 삼겹살과 목살은 충분히 드세요.
② 양념된 고기는 설탕이 많이 들어가 있을 수 있어요. 주의하세요.
③ 상추, 깻잎 등 쌈류는 충분히 드세요.
④ 쌈장 대신 소금, 와사비, 멜젓을 찍어드세요.
⑤ 밥 대신 계란찜이나 두부를 드세요.",,,,최종,프로덕트 웰다
82,식단지 식사,#식단지 식사 횟집,"✔식단지 식사할 때 외식/배달 실천 팁_횟집

⬡ 생선횟집
① 생선회는 충분히 드세요.
② 상추, 깻잎 등 쌈과 같이 충분히 드세요.
③ 소스는 초장, 쌈장 대신 간장, 와사비를 추천드려요.
④ 초밥, 알밥, 콘치즈를 피해주세요.",,,,최종,프로덕트 웰다
83,식단지 식사,#식단지 식사 육사시미 육회,"✔식단지 식사할 때 외식/배달 실천 팁_육사시미, 육회집

⬡ 육사시미, 육회집
① 육사시미는 충분히 드세요.
② 육회는 설탕이 많이 들어가 있을 수 있어, “설탕제외”를 요청하거나 육회 대신 육사시미를 추천드려요.
③ 육회비빔밥에 밥을 제외하고 채소와 육회만 드세요.
④ 소스는 초장 대신 기름, 소금장을 추천드려요.",,,,최종,프로덕트 웰다
84,식단지 식사,#식단지 식사 양꼬치,"✔식단지 식사할 때 외식/배달 실천 팁_양꼬치집

⬡ 양꼬치집(양꼬치, 양갈비)
① 양꼬치, 양갈비는 충분히 드세요.
② 짜사이무침은 설탕이 많이 들어가 있을 수 있으니 적당량 섭취하세요.
③ 양꼬치에 찍어먹는 쯔란은 마음껏 드셔도 되어요:)
④ 사이드 메뉴로 포두부볶음, 토마토 계란 볶음, 어향가지, 마늘꼬치를 추천드려요.
",,,,최종,프로덕트 웰다
85,식단지 식사,#식단지 식사 오리집,"✔식단지 식사할 때 외식/배달 실천 팁_오리집

⬡ 오리집(생오리로스, 훈제오리, 오리탕)
① 생오리로스, 훈제오리, 오리탕을 선택하여 충분히 드세요.
② 양념구이, 주물럭에는 설탕이 많이 들어가 있을 수 있으니 주의하세요.
③ 쌈류, 버섯류는 충분히 드세요.
④ 볶음밥, 죽, 감자 대신 샐러드나 계란찜을 추천드려요.",,,,최종,프로덕트 웰다
86,식단지 식사,#식단지 식사 닭집,"✔식단지 식사할 때 외식/배달 실천 팁_닭집

⬡ 닭집(닭백숙, 닭한마리, 닭볶음탕)
① 닭백숙, 닭한마리을 선택하여 충분히 드세요.
② 양념구이, 주물럭에는 설탕이 많이 들어가 있을 수 있으니 주의하세요.
③ 상추, 깻잎 등 쌈류는 충분히 드세요.
④ 볶음밥, 죽, 감자 대신 샐러드나 계란찜을 추천드려요.",,,,최종,프로덕트 웰다
87,식단지 식사,#식단지 식사 닭갈비,"✔식단지 식사할 때 외식/배달 실천 팁_닭갈비

⬡ 닭갈비
① 닭고기는 충분히 드세요.
② 닭갈비 양념에 설탕이 많이 들어가 있을 수 있어 “설탕 적게”를 요청하거나, 양념을 덜어내고 드시는 것을 추천드려요.
③ 닭갈비 속 고구마를 주의하세요.
④ 볶음밥, 면사리 대신 계란찜을 추천드려요.",,,,최종,프로덕트 웰다
88,식단지 식사,#식단지 식사 샤브샤브 편백찜,"✔식단지 식사할 때 외식/배달 실천 팁_샤브샤브, 편백찜집

⬡ 샤브샤브, 편백찜집
① 고기와 채소는 충분히 드세요.
② 칼국수, 우동면, 죽, 볶음밥, 감자는 피해주세요.
③ 달콤한 칠리소스, 허니 머스터드소스 대신 간장, 피시소스를 추천드려요.",,,,최종,프로덕트 웰다
89,식단지 식사,#식단지 식사 곱창구이 전골,"✔식단지 식사할 때 외식/배달 실천 팁_곱창구이, 곱창전골집

⬡ 곱창구이, 곱창전골집
① 곱창과 채소는 충분히 드세요.
② 볶음밥, 죽, 면류는 피해주세요. ",,,,최종,프로덕트 웰다
90,식단지 식사,#식단지 식사 치킨,"✔식단지 식사할 때 외식/배달 실천 팁_치킨집

⬡ 치킨집(소금구이, 후라이드)
① 오븐구이 치킨은 충분히 드세요.
② 양념치킨은 설탕이 많이 들어가 있을 수 있어 양념치킨 대신 담백한 소금구이나 후라이드 치킨을 추천드려요.
③ 치킨 무에는 설탕이 많이 들어가 있을 수 있으니 주의하세요!
④ 튀긴 치킨은 혈당에 영향은 적지만 가공된 트랜스지방이 다량 함유되어 우리 몸에 악영향을 줄 수 있어요.",,,,최종,프로덕트 웰다
91,식단지 식사,#식단지 식사 돈가스,"✔식단지 식사할 때 외식/배달 실천 팁_돈가스집

⬡ 돈가스집
① 돈가스 소스는 와사비, 소금을 추천드려요.
② 돈가스와 같이 나오는 샐러드를 먹을 때 소스 없이 드세요.
③ 튀긴 음식은 혈당에 영향은 적지만 가공된 트랜스지방이 다량 함유되어 우리 몸에 악영향을 줄 수 있어요.",,,,최종,프로덕트 웰다
92,식단지 식사,#식단지 식사 장어구이,"✔식단지 식사할 때 외식/배달 실천 팁_장어구이집

⬡ 장어구이집
① 장어는 충분히 드세요.
② 데리야끼구이, 양념구이 대신 소금구이를 추천드려요.
③ 상추, 깻잎 등 쌈류는 충분히 드세요.",,,,최종,프로덕트 웰다
93,식단지 식사,#식단지 식사 생선구이 생선조림,"✔식단지 식사할 때 외식/배달 실천 팁_생선구이, 생선조림집

⬡ 생선구이, 생선조림집
① 생선구이는 원하는 생선을 선택하여 종류에 상관없이 충분히 드세요.
② 생선조림에는 설탕이 많이 들어가 있을 수 있어,  “설탕제외”를 요청하거나 조림 대신 구이를 추천드려요.
③ 나물 반찬은 충분히 드세요.",,,,최종,프로덕트 웰다
94,식단지 식사,#식단지 식사 조개구이,"✔식단지 식사할 때 외식/배달 실천 팁_조개구이집

⬡ 조개집(조개구이, 조개찜, 새우구이, 꽃게찜, 조개전골, 조개삼합)
① 조개, 새우, 꽃게 등 해산물과 고기는 충분히 드세요.
② 초장에는 설탕이 많이 들어가 있을 수 있으니 소량만 섭취하시거나 초장 대신 간장, 와사비 소스를 추천드려요.
③ 해물라면, 죽은 피해주세요.",,,,최종,프로덕트 웰다
95,식단지 식사,#식단지 식사 두부요리,"✔식단지 식사할 때 외식/배달 실천 팁_두부요리집

⬡ 두부요리(두부구이, 두부전골, 두부찜, 순두부탕)
① 두부는 충분히 드세요.
② 두부조림 양념에 설탕이 많이 들어가 있을 수 있으니 주의하세요. 조림 대신 구이, 전골, 찜을 추천드려요.
③ 나물 반찬은 충분히 드세요.",,,,최종,프로덕트 웰다
96,식단지 식사,#식단지 식사 국밥,"✔식단지 식사할 때 외식/배달 실천 팁_국밥집

⬡ 국밥집 (설렁탕, 육개장, 도가니탕, 황태국, 돼지국밥, 콩나물해장국, 양평해장국, 갈비탕)
① 고기와 채소가 많은 국밥을 선택하여 건더기는 충분히 드세요.
② 국밥 안에 순대가 들어있다면 순대 속 당면을 주의하셔야 합니다.
③ 밥, 면 대신 고기추가를 추천드려요.",,,,최종,프로덕트 웰다
97,식단지 식사,#식단지 식사 샐러드 포케,"✔식단지 식사할 때 외식/배달 실천 팁_샐러드, 포케집

⬡ 샐러드, 포케집
① 채소와 고기, 두부는 충분히 드세요.
② 달콤한 소스를 대신 발사믹식초와 올리브오일을 추천드립니다.
③ 포케 속 현미밥, 그래놀라, 고구마를 주의하세요.",,,,최종,프로덕트 웰다
98,식단지 식사,#식단지 식사 양식,"✔식단지 식사할 때 외식/배달 실천 팁_양식집

⬡ 양식집(스테이크, 샐러드)
① 스테이크와 샐러드를 충분히 드세요.
② 스테이크 소스는 홀그레인 머스타드나 소스없이 드시는 것을 추천드려요.
③ 샐러드 소스는 발사믹식초와 올리브유를 추천드려요.
④ 스프, 달콤한 매쉬드 포테이토, 파스타를 피해주세요.",,,,최종,프로덕트 웰다
99,식단지 식사,#식단지 식사 마라탕 마라샹궈 훠궈,"✔식단지 식사할 때 외식/배달 실천 팁_마라탕, 마라샹궈, 훠궈집

⬡ 마라탕, 마라샹궈, 훠궈집
① 고기와 채소, 두부는 충분히 드세요.
② 옥수수면, 분모자, 소면, 칼국수면, 중국당면 대신 곤약말이, 곤약면을 드세요.
③ 감자를 주의하세요.",,,,최종,프로덕트 웰다
100,식단지 식사,#식단지 식사 베트남음식 베트남,"✔식단지 식사할 때 외식/배달 실천 팁_베트남 음식집

⬡ 베트남 음식집(공심채볶음, 껌승, 분짜)
① 껌승을 시켜서 밥 대신 고기와 채소를 충분히 드세요.
② 분짜의 면을 빼고 채소와 고기를 소스에 찍어서 드세요.
③ 공심채볶음은 마음껏 드셔도 되어요:)",,,,최종,프로덕트 웰다
101,식단지 식사,#식단지 식사 멕시코음식 타코,"✔식단지 식사할 때 외식/배달 실천 팁_멕시코 음식집

⬡ 멕시코 음식집(타코보울, 파히타, 멕시칸 샐러드)
① 타코보울, 파히타를 시켜서 고기와 채소를 충분히 드세요.
② 나쵸와 또띠아를 빼고 드세요.
③ 멕시칸 샐러드에 소스 따로를 요청하여 소량만 찍어서 드세요.
④ 칠리소스 대신 과카몰리는 충분히 드세요.",,,,최종,프로덕트 웰다
102,식단지 식사,"#식단지 식사 쌈밥 
#식단지 식사 쌈밥집","✔식단지 식사할 때 외식/배달 실천 팁_쌈밥집

⬡ 쌈밥집(생선쌈밥, 제육쌈밥, 불고기쌈밥, 고기구이 쌈밥)
① 나물, 쌈류, 생선, 고기반찬은 충분히 드세요.
② 양념류 대신 구이 메뉴를 추천드려요.
③ 쌈장 대신 소금을 추천드려요. ",,,,최종,프로덕트 웰다
103,식단지 식사,"#식단지 식사 편의점 예시 
#식단지 편의점 추천 
#식단지 편의점 실천 팁 
#식단지 쇼핑리스트","✔식단지 식사 실천 팁!_편의점

⬡ 식이섬유
  - 샐러드
  - 채소스틱
  - 김
  - 다시마튀각

⬡ 단백질
  - 닭가슴살
  - 족발, 편육
  - 조미되지 않은 육포, 쥐포, 먹태
  - 치즈
  - 난류(훈제란, 반숙란, 메추리알)
  - 무가당 요거트
  
⬡ 지방
  - 견과류
  - 방탄커피
  - 버터
  - 아몬드우유(언스위트)
",,,,최종,프로덕트 웰다
104,"혈당과 체지방
대사적 유연성","#체지방 연소를 늘리는 방법 
#대사 유연성 활성화 방법 
#인슐린 저항성 개선 방법","체지방은 우리 몸의 대사 유연성이 활성화된 상태에서 효과적으로 연소될 수 있어요. 

따라서 혈당 스파이크를 예방하여 대사 유연성을 활성화시키기 시작했다면 이제 우리 몸의 쌓인 지방을 에너지로 쓰도록 유도하여 체지방 연소를 늘려주세요.

체지방 연소를 늘리기 위해서는 체지방을 에너지로 더 많이 쓰게 하는 방법들과 체지방 연소를 방해하는 요소를 차단하는 방법이 있어요. ",,,,최종,프로덕트 웰다
